GPU Times, time.time(), clock_realtime
696905708008,1674351773.795083,1674351773.795094
696905738855,1674351773.825958,1674351773.825968
696905769702,1674351773.856750,1674351773.856761
696905800550,1674351773.887339,1674351773.887349
696905831399,1674351773.920892,1674351773.920902
696905862246,1674351773.949507,1674351773.949517
696905893093,1674351773.980165,1674351773.980175
696905923941,1674351774.010992,1674351774.011001
696905954789,1674351774.041722,1674351774.041732
696905985637,1674351774.074854,1674351774.074864
696906016485,1674351774.103521,1674351774.103531
696906047334,1674351774.134427,1674351774.134437
696906078181,1674351774.164972,1674351774.164983
696906109028,1674351774.196015,1674351774.196026
696906139876,1674351774.233582,1674351774.233593
696906170724,1674351774.257642,1674351774.257653
696906201572,1674351774.288617,1674351774.288627
696906232420,1674351774.319567,1674351774.319576
696906263267,1674351774.349939,1674351774.349949
696906294115,1674351774.383360,1674351774.383371
696906324963,1674351774.411918,1674351774.411928
696906355811,1674351774.442628,1674351774.442638
696906386659,1674351774.473410,1674351774.473420
696906417507,1674351774.504426,1674351774.504436
696906448354,1674351774.537459,1674351774.537470
696906479202,1674351774.566322,1674351774.566333
696906510050,1674351774.597099,1674351774.597110
696906540897,1674351774.627699,1674351774.627709
696906571746,1674351774.658529,1674351774.658538
696906602594,1674351774.691830,1674351774.691840
696906633441,1674351774.720296,1674351774.720305
696906664289,1674351774.751093,1674351774.751103
696906695136,1674351774.782209,1674351774.782218
696906725985,1674351774.812705,1674351774.812715
696906756832,1674351774.846044,1674351774.846054
696906787680,1674351774.874468,1674351774.874480
696906818528,1674351774.905265,1674351774.905276
696906849376,1674351774.936191,1674351774.936202
696906880224,1674351774.967157,1674351774.967167
696906911071,1674351775.000246,1674351775.000255
696906941919,1674351775.028648,1674351775.028658
696906972767,1674351775.059514,1674351775.059524
696907003615,1674351775.090364,1674351775.090374
696907034462,1674351775.121415,1674351775.121425
696907065311,1674351775.154711,1674351775.154720
696907096159,1674351775.183202,1674351775.183212
696907127006,1674351775.213909,1674351775.213919
696907157854,1674351775.244718,1674351775.244730
696907188702,1674351775.275537,1674351775.275548
696907219550,1674351775.308866,1674351775.308877
696907250397,1674351775.337539,1674351775.337549
696907281245,1674351775.368153,1674351775.368163
696907312093,1674351775.398975,1674351775.398986
696907342940,1674351775.429757,1674351775.429768
696907373788,1674351775.462832,1674351775.462842
696907404637,1674351775.491591,1674351775.491601
696907435484,1674351775.522514,1674351775.522524
696907466332,1674351775.553189,1674351775.553200
696907497180,1674351775.583992,1674351775.584002
696907528028,1674351775.617250,1674351775.617259
696907558875,1674351775.645850,1674351775.645862
696907589723,1674351775.676723,1674351775.676734
696907620571,1674351775.707661,1674351775.707671
696907651419,1674351775.738286,1674351775.738297
696907682266,1674351775.771510,1674351775.771521
696907713115,1674351775.800146,1674351775.800156
696907743963,1674351775.830986,1674351775.830996
696907774810,1674351775.861759,1674351775.861768
696907805658,1674351775.892679,1674351775.892689
696907836505,1674351775.925682,1674351775.925692
696907867353,1674351775.954535,1674351775.954544
696907898201,1674351775.985080,1674351775.985090
696907929049,1674351776.015904,1674351776.015914
696907959896,1674351776.046720,1674351776.046730
696907990744,1674351776.084354,1674351776.084365
696908021592,1674351776.108632,1674351776.108641
696908052440,1674351776.139195,1674351776.139206
696908083289,1674351776.170214,1674351776.170224
696908114136,1674351776.200924,1674351776.200933
696908144983,1674351776.234155,1674351776.234165
696908175831,1674351776.262705,1674351776.262714
696908206685,1674351776.293441,1674351776.293451
696908237527,1674351776.324334,1674351776.324344
696908268375,1674351776.355242,1674351776.355253
696908299223,1674351776.388416,1674351776.388425
696908330070,1674351776.416989,1674351776.416999
696908360918,1674351776.447948,1674351776.447958
696908391766,1674351776.478606,1674351776.478615
696908422614,1674351776.509509,1674351776.509518
696908453463,1674351776.542749,1674351776.542758
696908484310,1674351776.571328,1674351776.571338
696908515158,1674351776.602175,1674351776.602185
696908546005,1674351776.633003,1674351776.633014
696908576852,1674351776.663725,1674351776.663734
696908607701,1674351776.696862,1674351776.696872
696908638549,1674351776.725556,1674351776.725566
696908669397,1674351776.756343,1674351776.756353
696908700244,1674351776.787176,1674351776.787187
696908731092,1674351776.817863,1674351776.817873
696908761940,1674351776.851219,1674351776.851230
696908792788,1674351776.879810,1674351776.879819
696908823635,1674351776.910767,1674351776.910777
696908854483,1674351776.941323,1674351776.941333
696908885331,1674351776.972405,1674351776.972415
696908916179,1674351777.005566,1674351777.005576
696908947026,1674351777.033966,1674351777.033976
696908977874,1674351777.064724,1674351777.064735
696909008722,1674351777.095936,1674351777.095945
696909039570,1674351777.126462,1674351777.126472
696909070418,1674351777.159894,1674351777.159903
696909101267,1674351777.188365,1674351777.188375
696909132114,1674351777.219008,1674351777.219018
696909162961,1674351777.249999,1674351777.250009
696909193809,1674351777.281022,1674351777.281032
696909224657,1674351777.314260,1674351777.314270
